FA,CHC,CHH,COND,CECN,SEP,T,TIPOFALLA
S5,S5,S5,S5,S5,S5,0.848,0
S4,S3,S4,S5,S4,S5,0.77,0
S5,S3,S4,S5,S4,S5,0.826,0
S4,S3,S4,S5,S4,S5,0.762,0
S4,S3,S4,S5,S4,S4,0.78,0
S4,S3,S4,S5,S4,S5,0.762,0
S5,S5,S5,S5,S4,S0,0.914,0
S5,S3,S5,S5,S5,S5,0.908,0
S5,S3,S4,S5,S4,S5,0.594,0
S4,S3,S4,S5,S4,S5,0.83,0
S4,S3,S4,S5,S4,S5,0.83,0
S5,S5,S5,S5,S5,S5,0.944,0
S5,S3,S4,S5,S4,S5,0.788,0
S5,S5,S5,S5,S5,S5,0.994,0
S5,S2,S4,S5,S5,S5,0.684,0
S5,S3,S3,S5,S4,S5,0.682,0
S5,S3,S4,S5,S4,S5,0.806,0
S5,S5,S5,S5,S5,S0,0.854,0
S5,S5,S5,S5,S4,S0,0.914,0
S5,S5,S5,S5,S5,S5,0.956,0
S5,S5,S5,S5,S5,S5,0.928,0
S5,S5,S5,S5,S5,S5,0.984,0
S5,S5,S5,S5,S5,S5,0.896,0
S5,S5,S5,S5,S5,S5,0.848,0
S5,S5,S5,S5,S5,S5,0.964,0
S5,S3,S4,S5,S4,S5,0.808,0
S5,S3,S3,S5,S4,S5,0.682,0
S5,S2,S4,S5,S5,S5,0.684,0
S5,S3,S4,S5,S4,S5,0.826,0
S4,S5,S5,S5,S5,S5,0.956,0
S5,S5,S5,S5,S5,S5,0.998,0
S5,S5,S5,S5,S5,S5,0.96,0
S5,S3,S4,S5,S4,S5,0.8,0
S5,S5,S5,S5,S5,S5,0.858,0
S5,S5,S5,S5,S5,S5,0.994,0
S4,S5,S5,S5,S5,S0,0.826,0
S5,S5,S5,S5,S5,S5,0.95,0
S5,S4,S4,S5,S5,S5,0.914,0
S5,S5,S5,S5,S5,S5,0.96,0
S5,S5,S5,S5,S5,S5,0.9,0
S5,S4,S4,S5,S5,S5,0.914,0
S5,S2,S4,S5,S5,S5,0.674,0
S5,S3,S3,S5,S4,S5,0.672,0
S4,S5,S5,S5,S5,S5,0.97,0
S4,S3,S4,S5,S4,S4,0.78,0
S5,S2,S4,S5,S5,S5,0.684,0
S3,S3,S3,S3,S3,S3,0.6,0
S5,S4,S4,S5,S5,S5,0.908,0
S5,S5,S5,S5,S5,S5,0.964,0
S5,S5,S5,S5,S5,S5,0.894,0
S5,S4,S5,S4,S3,S0,0.7,0
S5,S4,S5,S5,S5,S5,0.896,0
S5,S3,S3,S5,S4,S5,0.662,0
S5,S4,S5,S5,S5,S5,0.932,0
S5,S4,S5,S5,S5,S5,0.872,0
S5,S3,S4,S5,S4,S5,0.808,0
S5,S5,S5,S5,S4,S0,0.914,0
S5,S4,S5,S4,S3,S0,0.764,0
S5,S4,S4,S5,S5,S5,0.914,0
S5,S4,S5,S4,S3,S0,0.712,0
S5,S4,S4,S4,S4,S0,0.868,0
S5,S3,S4,S5,S4,S5,0.808,0
S5,S5,S5,S5,S5,S5,0.932,0
S5,S3,S4,S5,S4,S5,0.808,0
S5,S4,S5,S5,S5,S5,0.932,0
S5,S3,S3,S5,S4,S5,0.672,0
S5,S3,S4,S5,S4,S5,0.788,0
S5,S3,S4,S5,S4,S5,0.828,0
S5,S5,S5,S5,S5,S5,0.926,0
S5,S5,S5,S5,S5,S5,0.938,0
S5,S5,S5,S5,S5,S0,0.8,0
S5,S3,S4,S5,S4,S5,0.788,0
S5,S4,S4,S5,S5,S5,0.908,0
S5,S5,S5,S5,S5,S5,1,0
S5,S4,S5,S5,S5,S5,0.89,0
S5,S5,S5,S5,S5,S5,0.972,0
S5,S3,S5,S5,S5,S5,0.868,0
S5,S4,S5,S4,S3,S0,0.7,0
S5,S5,S5,S5,S5,S5,0.938,0
S5,S5,S5,S4,S4,S0,0.82,0
S5,S3,S4,S5,S4,S5,0.794,0
S5,S5,S5,S5,S5,S5,0.924,0
S5,S3,S5,S5,S5,S5,0.908,0
S5,S2,S4,S5,S5,S5,0.674,0
S5,S5,S5,S5,S5,S5,0.936,0
S5,S5,S5,S5,S5,S5,0.948,0
S4,S5,S5,S5,S5,S5,0.956,0
S5,S5,S5,S5,S5,S5,0.898,0
S4,S5,S5,S5,S5,S5,0.93,0
S5,S4,S5,S5,S5,S5,0.89,0
S5,S3,S3,S5,S4,S5,0.658,0
S5,S5,S5,S5,S5,S0,0.744,0
S5,S5,S5,S5,S5,S5,0.932,0
S5,S3,S5,S5,S5,S5,0.878,0
S5,S5,S5,S5,S5,S5,0.914,0
S5,S4,S4,S5,S5,S5,0.914,0
S4,S5,S5,S5,S5,S5,0.93,0
S5,S3,S3,S5,S4,S5,0.662,0
S5,S2,S4,S5,S5,S5,0.682,0
S5,S3,S4,S5,S4,S5,0.788,0
S5,S5,S5,S4,S4,S0,0.77,0
S5,S3,S3,S5,S4,S5,0.668,0
S5,S5,S5,S5,S5,S5,0.938,0
S5,S5,S5,S5,S4,S0,0.914,0
S5,S3,S3,S5,S4,S5,0.638,0
S5,S5,S5,S5,S5,S5,0.938,0
S5,S3,S3,S5,S4,S5,0.682,0
S5,S5,S5,S5,S5,S5,0.998,0
S5,S3,S4,S5,S4,S5,0.55,0
S5,S5,S5,S5,S5,S5,0.964,0
S5,S5,S5,S5,S5,S5,0.908,0
S5,S4,S4,S5,S5,S5,0.914,0
S5,S5,S5,S5,S5,S5,0.938,0
S5,S3,S5,S5,S5,S5,0.868,0
S5,S3,S4,S5,S4,S5,0.8,0
S4,S5,S5,S5,S5,S5,0.93,0
S5,S4,S4,S5,S3,S0,0.778,0
S5,S5,S5,S5,S5,S5,0.848,0
S5,S3,S5,S5,S5,S5,0.868,0
S5,S5,S5,S5,S5,S5,0.972,0
S5,S4,S4,S4,S3,S0,0.77,0
S5,S4,S5,S5,S5,S5,0.894,0
S5,S5,S5,S5,S5,S5,0.942,0
S5,S5,S5,S5,S5,S5,0.878,0
S5,S3,S5,S5,S5,S5,0.868,0
S4,S5,S5,S5,S5,S5,0.93,0
S5,S4,S4,S5,S5,S5,0.908,0
S5,S5,S5,S5,S5,S0,0.824,0
S5,S5,S5,S5,S5,S5,0.926,0
S4,S3,S4,S5,S4,S4,0.78,0
S5,S4,S5,S5,S5,S5,0.884,0
S5,S5,S5,S5,S5,S5,0.938,0
S4,S3,S4,S5,S4,S3,0.766,0
S5,S5,S5,S5,S5,S5,0.928,0
S5,S5,S5,S5,S5,S5,0.878,0
S4,S3,S4,S5,S4,S4,0.78,0
S5,S5,S5,S5,S5,S5,0.926,0
S5,S5,S5,S5,S5,S5,0.908,0
S5,S4,S3,S3,S3,S0,0.756,0
S5,S5,S5,S5,S5,S5,0.96,0
S5,S5,S5,S5,S5,S5,0.884,0
S5,S3,S4,S5,S4,S5,0.806,0
S5,S5,S5,S5,S5,S0,0.786,0
S5,S5,S5,S5,S4,S0,0.914,0
S5,S5,S5,S5,S5,S5,0.964,0
S4,S5,S5,S5,S5,S5,0.956,0
S5,S4,S4,S5,S5,S5,0.914,0
S5,S2,S4,S5,S5,S5,0.682,0
S5,S2,S4,S5,S5,S5,0.674,0
S5,S5,S5,S5,S5,S5,0.91,0
S5,S4,S5,S5,S5,S5,0.904,0
S5,S3,S5,S5,S5,S5,0.868,0
S5,S5,S5,S5,S5,S5,0.926,0
S5,S3,S3,S5,S4,S5,0.662,0
S5,S5,S5,S5,S4,S0,0.914,0
S5,S4,S4,S5,S5,S5,0.914,0
S5,S4,S4,S5,S5,S5,0.902,0
S5,S2,S4,S5,S5,S5,0.684,0
S5,S5,S5,S5,S5,S5,0.956,0
S5,S4,S4,S5,S5,S5,0.908,0
S5,S5,S5,S5,S5,S5,0.938,0
S5,S4,S4,S5,S3,S0,0.79,0
S5,S3,S4,S5,S4,S5,0.57,0
S5,S4,S4,S5,S5,S5,0.908,0
S5,S4,S4,S4,S4,S0,0.868,0
S5,S5,S5,S5,S5,S5,0.938,0
S4,S3,S4,S5,S4,S4,0.78,0
S4,S5,S5,S5,S5,S0,0.746,0
S5,S5,S5,S5,S5,S0,0.806,0
S5,S5,S4,S4,S5,S0,0.818,0
S5,S5,S5,S5,S4,S0,0.908,0
S5,S5,S5,S5,S5,S5,0.944,0
S5,S5,S5,S5,S5,S5,0.858,0
S5,S5,S5,S5,S5,S5,0.878,0
S5,S2,S4,S5,S5,S5,0.688,0
S5,S4,S4,S5,S5,S5,0.914,0
S5,S3,S5,S5,S5,S5,0.878,0
S5,S3,S4,S4,S5,S0,0.77,0
S5,S4,S4,S5,S5,S5,0.908,0
S5,S3,S3,S5,S4,S5,0.662,0
S5,S3,S3,S5,S4,S5,0.682,0
S5,S2,S4,S5,S5,S5,0.684,0
S5,S5,S5,S5,S4,S0,0.908,0
S5,S5,S5,S5,S5,S5,0.908,0
S5,S4,S4,S5,S5,S5,0.916,0
S5,S3,S4,S5,S4,S5,0.826,0
S5,S5,S5,S5,S5,S5,0.942,0
S5,S5,S5,S5,S5,S5,0.896,0
S5,S5,S5,S5,S5,S5,0.994,0
S5,S3,S4,S5,S4,S5,0.788,0
S5,S5,S5,S5,S5,S5,0.984,0
S5,S3,S3,S5,S4,S5,0.692,0
S5,S5,S5,S5,S5,S5,0.942,0
S5,S3,S3,S5,S4,S5,0.668,0
S5,S5,S5,S5,S5,S5,0.896,0
S5,S5,S5,S5,S4,S0,0.914,0
S5,S5,S5,S5,S5,S5,0.938,0
S4,S3,S4,S5,S4,S4,0.82,0
S5,S3,S3,S5,S4,S5,0.638,0
S5,S3,S5,S5,S5,S5,0.878,0
S5,S4,S4,S5,S5,S5,0.902,0
S5,S3,S4,S5,S4,S5,0.794,0
S5,S4,S4,S5,S5,S0,0.924,0
S4,S5,S5,S5,S5,S5,0.97,0
S5,S5,S5,S5,S5,S5,0.942,0
S5,S5,S5,S5,S5,S0,0.824,0
S5,S4,S4,S5,S5,S5,0.934,0
S5,S5,S5,S5,S4,S0,0.914,0
S5,S2,S4,S5,S5,S5,0.674,0
S5,S5,S5,S5,S5,S5,0.876,0
S5,S3,S4,S5,S4,S5,0.828,0
S5,S5,S5,S5,S5,S5,0.972,0
S4,S3,S4,S5,S4,S5,0.83,0
S5,S5,S5,S5,S4,S0,0.908,0
S5,S5,S5,S5,S5,S5,0.994,0
S5,S5,S5,S5,S5,S5,0.944,0
S5,S4,S4,S5,S5,S0,0.888,0
S5,S3,S4,S5,S4,S5,0.638,0
S5,S4,S5,S5,S5,S5,0.882,0
S5,S3,S4,S5,S4,S5,0.8,0
S5,S5,S5,S5,S5,S5,1,0
S5,S3,S4,S5,S4,S5,0.808,0
S5,S4,S4,S5,S5,S5,0.914,0
S4,S5,S5,S5,S5,S5,0.956,0
S5,S3,S4,S5,S4,S5,0.806,0
S5,S3,S3,S5,S4,S5,0.692,0
S4,S3,S4,S5,S4,S3,0.766,0
S5,S3,S5,S5,S5,S5,0.868,0
S5,S4,S5,S4,S4,S0,0.798,0
S4,S3,S4,S5,S4,S3,0.766,0
S5,S5,S5,S5,S5,S5,0.942,0
S5,S3,S5,S5,S5,S5,0.908,0
S5,S4,S4,S5,S5,S5,0.908,0
S5,S5,S5,S5,S4,S0,0.908,0
S5,S5,S3,S4,S3,S0,0.77,0
S5,S5,S5,S5,S4,S0,0.902,0
S4,S5,S5,S5,S5,S5,0.956,0
S4,S3,S4,S5,S4,S3,0.766,0
S5,S4,S5,S5,S5,S5,0.932,0
S5,S5,S5,S5,S5,S5,0.936,0
S4,S4,S4,S5,S3,S0,0.752,0
S5,S5,S5,S5,S5,S5,0.932,0
S5,S4,S5,S4,S4,S0,0.736,0
S5,S3,S4,S5,S4,S5,0.82,0
S5,S5,S5,S5,S5,S5,0.848,0
S5,S3,S3,S5,S4,S5,0.658,0
S5,S3,S4,S5,S4,S5,0.788,0
S5,S3,S4,S5,S4,S5,0.834,0
S4,S5,S5,S5,S5,S5,0.93,0
S5,S5,S5,S5,S5,S5,0.944,0
S4,S5,S5,S5,S5,S5,0.97,0
S5,S5,S5,S5,S5,S5,0.944,0
S4,S5,S5,S5,S5,S5,0.93,0
S5,S3,S4,S5,S4,S5,0.828,0
S5,S4,S5,S4,S4,S0,0.792,0
S5,S5,S5,S5,S5,S5,0.848,0
S5,S4,S4,S5,S5,S5,0.908,0
S5,S4,S4,S5,S5,S5,0.914,0
S5,S3,S5,S5,S5,S5,0.878,0
S5,S5,S5,S5,S5,S5,1,0
S5,S5,S5,S5,S5,S0,0.798,0
S5,S5,S5,S5,S4,S0,0.914,0
S5,S3,S3,S5,S4,S5,0.692,0
S5,S5,S5,S5,S5,S5,0.938,0
S5,S5,S5,S5,S4,S0,0.914,0
S5,S5,S5,S5,S5,S5,0.916,0
S5,S4,S4,S5,S5,S5,0.902,0
S5,S4,S4,S5,S5,S5,0.908,0
S5,S4,S5,S5,S5,S5,0.896,0
S5,S5,S5,S5,S5,S5,0.944,0
S5,S3,S4,S5,S4,S5,0.808,0
S5,S3,S4,S5,S4,S5,0.806,0
S4,S5,S5,S5,S5,S5,0.936,0
S5,S3,S5,S5,S5,S5,0.868,0
S5,S3,S4,S5,S4,S5,0.638,0
S5,S5,S5,S5,S5,S5,0.9,0
S5,S5,S5,S5,S5,S5,0.942,0
S4,S3,S4,S5,S4,S5,0.762,0
S5,S4,S4,S5,S5,S5,0.914,0
S5,S4,S4,S5,S5,S5,0.914,0
S5,S5,S5,S5,S5,S5,0.908,0
S4,S5,S5,S5,S5,S5,0.97,0
S5,S5,S5,S5,S5,S5,0.858,0
S5,S3,S4,S5,S4,S5,0.806,0
S3,S3,S3,S3,S3,S3,0.6,0
S5,S5,S5,S5,S5,S5,0.96,0
S5,S5,S5,S5,S5,S5,0.956,0
S5,S3,S4,S5,S4,S5,0.834,0
S5,S3,S3,S5,S4,S5,0.692,0
S5,S4,S5,S5,S5,S5,0.894,0
S5,S3,S3,S5,S4,S5,0.662,0
S5,S4,S4,S5,S5,S5,0.908,0
S5,S5,S5,S5,S5,S5,0.858,0
S5,S3,S5,S5,S5,S5,0.868,0
S5,S3,S3,S5,S4,S5,0.662,0
S4,S5,S5,S5,S5,S5,0.93,0
S5,S5,S5,S5,S5,S5,0.908,0
S4,S5,S5,S5,S5,S0,0.842,0
S5,S5,S5,S5,S5,S5,0.936,0
S5,S4,S5,S5,S5,S5,0.932,0
S5,S5,S3,S5,S5,S0,0.796,0
S5,S3,S4,S5,S4,S5,0.828,0
S5,S3,S4,S5,S4,S5,0.806,0
S4,S5,S5,S5,S5,S5,0.93,0
S5,S5,S5,S5,S5,S5,0.944,0
S5,S5,S5,S5,S5,S5,0.938,0
S5,S4,S5,S5,S5,S5,0.892,0
S5,S5,S5,S5,S5,S5,0.994,0
S5,S5,S5,S5,S5,S5,0.928,0
S5,S4,S4,S5,S5,S5,0.914,0
S5,S3,S5,S5,S5,S5,0.868,0
S5,S3,S3,S5,S4,S5,0.658,0
S5,S3,S4,S5,S4,S5,0.808,0
S5,S4,S5,S5,S5,S5,0.908,0
S5,S4,S5,S5,S5,S5,0.896,0
S5,S5,S5,S5,S5,S5,0.936,0
S4,S5,S5,S5,S5,S5,0.97,0
S5,S5,S5,S5,S5,S5,0.95,0
S5,S3,S4,S5,S4,S5,0.638,0
S5,S2,S4,S5,S5,S5,0.684,0
S5,S4,S4,S5,S5,S5,0.902,0
S5,S5,S5,S5,S5,S5,0.9,0
S5,S3,S3,S5,S4,S5,0.682,0
S4,S3,S4,S5,S4,S5,0.762,0
S5,S5,S5,S5,S5,S5,0.848,0
S5,S5,S5,S5,S5,S0,0.812,0
S5,S5,S5,S5,S5,S0,0.75,0
S5,S5,S5,S5,S5,S5,0.848,0
S5,S5,S5,S5,S5,S5,0.876,0
S5,S4,S4,S5,S5,S5,0.914,0
S5,S4,S4,S5,S5,S5,0.908,0
S5,S4,S5,S5,S5,S5,0.89,0
S4,S5,S5,S5,S5,S5,0.956,0
S5,S3,S4,S5,S4,S5,0.8,0
S5,S5,S5,S5,S5,S5,0.848,0
S4,S5,S5,S5,S5,S5,0.97,0
S5,S3,S4,S5,S4,S5,0.794,0
S5,S3,S4,S5,S4,S5,0.808,0
S5,S3,S3,S5,S4,S5,0.682,0
S4,S3,S4,S5,S4,S5,0.762,0
S5,S5,S5,S5,S5,S5,0.916,0
S5,S3,S3,S5,S4,S5,0.692,0
S5,S5,S5,S5,S5,S5,0.926,0
S5,S5,S5,S5,S5,S5,0.848,0
S5,S4,S4,S5,S5,S5,0.914,0
S4,S3,S4,S5,S4,S4,0.78,0
S5,S5,S5,S5,S5,S5,0.964,0
S5,S3,S3,S5,S4,S5,0.662,0
S4,S3,S4,S5,S4,S4,0.78,0
S5,S5,S5,S5,S4,S0,0.914,0
S4,S3,S4,S5,S4,S4,0.78,0
S4,S5,S5,S5,S5,S5,0.93,0
S4,S5,S5,S5,S5,S5,0.97,0
S5,S5,S5,S5,S5,S5,0.944,0
S5,S4,S5,S5,S5,S5,0.908,0
S4,S5,S5,S5,S5,S5,0.97,0
S4,S3,S4,S5,S4,S5,0.824,0
S5,S5,S5,S5,S5,S5,0.984,B0
S5,S5,S5,S5,S5,S5,0.908,C0
S5,S5,S5,S5,S5,S5,0.914,B0
S5,S5,S5,S5,S5,S5,0.896,B0
S5,S5,S5,S5,S5,S5,0.896,A6
S5,S5,S5,S5,S5,S5,0.896,E2.III
S5,S5,S5,S5,S5,S5,0.896,A6
